Commit ID,User ,TimeStamp,Discription,Changed files,Lines addition,Lines Deletion
8ec4e99,Shikhar Maheshwari,"Fri, 24 Jan 2020 20:23:34 +0530",multiple updates,"	 7 files changed", 77 insertions(+)," 4 deletions(-)	"
60d5a39,Kaiwalya Patil,"Fri, 24 Jan 2020 19:33:57 +0530",Fixes,"	 1 file changed", 1 insertion(+),
fc6b51c,Kaiwalya Patil,"Fri, 24 Jan 2020 19:29:54 +0530",Minor changes,"	 2 files changed"," 3 insertions(+)	"," 1 deletion(-)	"
c5bc7c3,Kaiwalya Patil,"Thu, 23 Jan 2020 19:35:05 +0530",Update nlp_ruler.py,"	 1 file changed", 1 insertion(+)," 1 deletion(-)	"
6.15E+12,Shikhar Maheshwari,"Wed, 22 Jan 2020 23:24:18 +0530",updated infra,"	 2 files changed", 1 insertion(+)," 3 deletions(-)	"
3ca54b3,Kaiwalya Patil,"Wed, 22 Jan 2020 22:59:41 +0530",Added infra entity,"	 1 file changed", 12 insertions(+)," 0 deletions(-)	"
88bf38e,Kaiwalya Patil,"Wed, 22 Jan 2020 17:07:13 +0530","Name changes, since it will no longer be used","	 1 file changed", 0 insertions(+),
23c240f,Kaiwalya Patil,"Wed, 22 Jan 2020 17:00:40 +0530",MAIN file for further processes,"	 1 file changed"," 56 insertions(+)	",
257f8a3,Kaiwalya Patil,"Wed, 22 Jan 2020 01:41:01 +0530",Create infra.csv,"	 1 file changed"," 35 insertions(+)	"," 16 deletions(-)	"
d6443e2,Shikhar Maheshwari,"Thu, 16 Jan 2020 14:00:51 +0530",Update nlp.py,"	 1 file changed", 24 insertions(+)," 1 deletion(-)	"
696ffee,Shikhar Maheshwari,"Wed, 15 Jan 2020 03:06:55 +0530",Disease location and intensitu detection samplease created,"	 3 files changed", 713 insertions(+)," 0 deletions(-)	"
d1a9d61,Shikhar Maheshwari,"Fri, 3 Jan 2020 01:15:11 +0530",Update For The People.pptx,"	 1 file changed", 0 insertions(+)," 0 deletions(-)	"
8994ffe,Shikhar Maheshwari,"Fri, 3 Jan 2020 01:07:03 +0530",Create For The People.pptx,"	 1 file changed", 0 insertions(+)," 13 deletions(-)	"
dc8b389,Shikhar Maheshwari,"Thu, 2 Jan 2020 21:08:54 +0530",Added Folder Structure,"	 1 file changed", 13 insertions(+)," 2 deletions(-)	"
f92be9a,Kaiwalya Patil,"Thu, 2 Jan 2020 15:10:01 +0530",Update nlp.py,"	 1 file changed", 2 insertions(+),
1eb42a4,Kaiwalya Patil,"Thu, 2 Jan 2020 15:05:09 +0530",base nlp file,"	 1 file changed"," 13 insertions(+)	",
07b79ef,Kaiwalya Patil,"Thu, 2 Jan 2020 15:04:29 +0530",Initial commit,"	 3 files changed"," 805 insertions(+)	",
